nodeId,startNode,endNode
IPARK01001_IWALK01201,IPARK01001,IWALK01201
IPARK01101_IWALK01201,IPARK01101,IWALK01201
IPARK01201_IWALK01201,IPARK01201,IWALK01201
IPARK01301_IWALK00101,IPARK01301,IWALK00101
IPARK01401_IWALK00101,IPARK01401,IWALK00101
IPARK01501_IWALK00101,IPARK01501,IWALK00101
IPARK01701_IWALK00101,IPARK01701,IWALK00101
IPARK01801_IWALK00101,IPARK01801,IWALK00101
IPARK01901_IWALK00101,IPARK01901,IWALK00101
IPARK02001_IWALK00101,IPARK02001,IWALK00101
IPARK02101_IWALK00101,IPARK02101,IWALK00101
IPARK02201_IWALK00101,IPARK02201,IWALK00101
IPARK02301_IWALK00101,IPARK02301,IWALK00101
IPARK02401_IWALK00101,IPARK02401,IWALK00101
IPARK02501_IWALK00101,IPARK02501,IWALK00101
IPARK02601_IWALK00101,IPARK02601,IWALK00101
IPARK02701_IWALK00101,IPARK02701,IWALK00101
IPARK02801_IWALK00101,IPARK02801,IWALK00101
IPARK02901_IWALK00101,IPARK02901,IWALK00101
IPARK03001_IWALK00101,IPARK03001,IWALK00101
IREST00101_IHALL00401,IREST00101,IHALL00401
IREST00103_IHALL00403,IREST00103,IHALL00403
IREST00104_IHALL00504,IREST00104,IHALL00504
IREST00105_IHALL00505,IREST00105,IHALL00505
IREST00105_IHALL01305,IREST00105,IHALL01305
IREST00202_IHALL02702,IREST00202,IHALL02702
IREST00204_IHALL03604,IREST00204,IHALL03604
IREST00303_IHALL02103,IREST00303,IHALL02103
IREST00304_IHALL02204,IREST00304,IHALL02204
IRETL00101_IHALL01301,IRETL00101,IHALL01301
ISERV00202_IHALL00202,ISERV00202,IHALL00202
ISERV00301_IHALL02701,ISERV00301,IHALL02701
ISERV00302_IHALL00402,ISERV00302,IHALL00402
ISERV00304_IHALL02104,ISERV00304,IHALL02104
ISERV00402_IHALL00502,ISERV00402,IHALL00502
ISERV00404_IHALL02704,ISERV00404,IHALL02704
ISERV00503_IHALL02303,ISERV00503,IHALL02303
ISERV00504_IHALL02804,ISERV00504,IHALL02804
ISERV00603_IHALL02303,ISERV00603,IHALL02303
ISERV00604_IHALL03004,ISERV00604,IHALL03004
ISTAI00102_IHALL01002,ISTAI00102,IHALL01002
ISTAI00102_ISTAI00101,ISTAI00102,ISTAI00101
ISTAI00103_IHALL01903,ISTAI00103,IHALL01903
ISTAI00103_ISTAI00102,ISTAI00103,ISTAI00102
ISTAI00103_ISTAI00304,ISTAI00103,ISTAI00304
ISTAI00104_IHALL03904,ISTAI00104,IHALL03904
ISTAI00105_ISTAI00104,ISTAI00105,ISTAI00104
ISTAI00201_IHALL03101,ISTAI00201,IHALL03101
ISTAI00201_ISTAI00404,ISTAI00201,ISTAI00404
ISTAI00202_ISTAI00301,ISTAI00202,ISTAI00301
ISTAI00203_ISTAI00202,ISTAI00203,ISTAI00202
ISTAI00203_ISTAI00504,ISTAI00203,ISTAI00504
ISTAI00204_IHALL03704,ISTAI00204,IHALL03704
ISTAI00205_IHALL03305,ISTAI00205,IHALL03305
ISTAI00205_ISTAI00204,ISTAI00205,ISTAI00204
ISTAI00305_ISTAI00304,ISTAI00305,ISTAI00304
ISTAI00405_IHALL02705,ISTAI00405,IHALL02705
ISTAI00405_ISTAI00404,ISTAI00405,ISTAI00404
ISTAI00505_IHALL01305,ISTAI00505,IHALL01305
ISTAI00505_ISTAI00504,ISTAI00505,ISTAI00504
IWALK00101_IPARK01601,IWALK00101,IPARK01601
IWALK00101_IWALK00201,IWALK00101,IWALK00201
IWALK00201_IWALK00301,IWALK00201,IWALK00301
IWALK00301_IWALK00401,IWALK00301,IWALK00401
IWALK00401_IWALK00501,IWALK00401,IWALK00501
IWALK00501_IWALK00601,IWALK00501,IWALK00601
IWALK00601_IWALK00701,IWALK00601,IWALK00701
IWALK00701_IWALK00801,IWALK00701,IWALK00801
IWALK00701_IWALK01101,IWALK00701,IWALK01101
IWALK00801_IWALK00901,IWALK00801,IWALK00901
IWALK00901_IWALK01001,IWALK00901,IWALK01001
IWALK01001_IEXIT00101,IWALK01001,IEXIT00101
IWALK01001_IWALK01301,IWALK01001,IWALK01301
IWALK01101_IEXIT00201,IWALK01101,IEXIT00201
IWALK01201_IPARK00101,IWALK01201,IPARK00101
IWALK01301_IWALK01201,IWALK01301,IWALK01201
IWALK01501_IWALK01201,IWALK01501,IWALK01201
