id,nodeA,nodeB
BadSol1615935584_BadSol16,BadSol1615935584,BadSol16
BadSol1615935202_BadSol35,BadSol1615935202,BadSol35
BadSol1615935200_BadSol37,BadSol1615935200,BadSol37
BadSol1615935201_BadSol36,BadSol1615935201,BadSol36
BadSol1615935204_BadSol34,BadSol1615935204,BadSol34
BadSol1615935205_BadSol33,BadSol1615935205,BadSol33
BadSol1615935206_BadSol32,BadSol1615935206,BadSol32
BadSol1615935207_BadSol31,BadSol1615935207,BadSol31
BadSol1615935208_BadSol30,BadSol1615935208,BadSol30
BadSol1615935585_BadSol17,BadSol1615935585,BadSol17
BadSol1615935210_BadSol29,BadSol1615935210,BadSol29
BadSol1615935211_BadSol28,BadSol1615935211,BadSol28
BadSol1615935212_BadSol27,BadSol1615935212,BadSol27
BadSol1615935214_BadSol26,BadSol1615935214,BadSol26
BadSol1615935586_BadSol18,BadSol1615935586,BadSol18
BadSol1615935216_BadSol25,BadSol1615935216,BadSol25
BadSol1615935217_BadSol24,BadSol1615935217,BadSol24
ISERV00304_IHALL02104,ISERV00304,IHALL02104
ISERV00101_IHALL02301,ISERV00101,IHALL02301
IHALL01303_IDEPT00103,IHALL01303,IDEPT00103
BadSol1615935226_IPARK00501,BadSol1615935226,IPARK00501
BadSol1615935220_BadSol20,BadSol1615935220,BadSol20
ISTAI00204_IHALL03704,ISTAI00204,IHALL03704
IREST00205_IHALL02905,IREST00205,IHALL02905
BadSol1615935584_BadSol23,BadSol1615935584,BadSol23
BadSol1615935585_BadSol22,BadSol1615935585,BadSol22
BadSol1615935586_BadSol21,BadSol1615935586,BadSol21
IWALK00701_IWALK00501,IWALK00701,IWALK00501
ISTAI00401_IHALL01201,ISTAI00401,IHALL01201
IEXIT00101_IWALK01001,IEXIT00101,IWALK01001
BadSol1615935205_BadSol49,BadSol1615935205,BadSol49
BadSol1615935206_BadSol48,BadSol1615935206,BadSol48
BadSol1615935207_BadSol47,BadSol1615935207,BadSol47
BadSol1615935208_BadSol46,BadSol1615935208,BadSol46
IHALL03205_IHALL03305,IHALL03205,IHALL03305
IHALL03204_IHALL03304,IHALL03204,IHALL03304
IHALL01301_IRETL00101,IHALL01301,IRETL00101
IHALL01702_IHALL01802,IHALL01702,IHALL01802
IHALL01703_IHALL01803,IHALL01703,IHALL01803
IDEPT01005_IHALL01605,IDEPT01005,IHALL01605
IHALL01701_IHALL01801,IHALL01701,IHALL01801
BadSol1615935847_IPARK01301,BadSol1615935847,IPARK01301
BadSol1615935202_BadSol51,BadSol1615935202,BadSol51
BadSol1615935200_BadSol53,BadSol1615935200,BadSol53
BadSol1615935201_BadSol52,BadSol1615935201,BadSol52
BadSol1615935204_BadSol50,BadSol1615935204,BadSol50
IHALL01704_IHALL01804,IHALL01704,IHALL01804
BadSol1615935210_BadSol45,BadSol1615935210,BadSol45
BadSol1615935211_BadSol44,BadSol1615935211,BadSol44
BadSol1615935212_BadSol43,BadSol1615935212,BadSol43
